        ||            Incr+Global+Local                  ||                  Subdivision                  ||                   Incr+Local                  ||                 Convex+Local                  ||
   Size || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound ||
    10  || 1.793450  | 4.426059  | 0.494711  | 0.822788  || 1.635816  | 4.386596  | 0.393686  | 0.783325  || 1.838362  | 4.358253  | 0.494711  | 0.787568  || 1.740041  | 4.212419  | 0.455102  | 0.664801  || 
    20  || 1.327122  | 4.221453  | 0.320996  | 0.746418  || 1.247608  | 4.418475  | 0.343558  | 0.820356  || 1.506630  | 4.182713  | 0.411970  | 0.746418  || 1.187953  | 4.396951  | 0.371045  | 0.804856  || 
    30  || 0.983194  | 4.355056  | 0.242990  | 0.784471  || 1.024107  | 4.483260  | 0.254666  | 0.874598  || 1.370146  | 4.147857  | 0.346041  | 0.699136  || 1.361406  | 4.404352  | 0.355256  | 0.832787  || 
    40  || 1.114903  | 4.228767  | 0.315930  | 0.808005  || 0.993125  | 4.304729  | 0.242945  | 0.815573  || 1.429924  | 4.012836  | 0.400221  | 0.758318  || 1.521447  | 4.195066  | 0.379746  | 0.803848  || 
    50  || 1.122146  | 4.216639  | 0.290084  | 0.811091  || 0.956963  | 4.369316  | 0.222071  | 0.857912  || 1.241784  | 4.041123  | 0.320932  | 0.778844  || 1.392677  | 4.277439  | 0.342631  | 0.820343  || 
    60  || 1.022574  | 4.218480  | 0.260646  | 0.791689  || 1.036014  | 4.278603  | 0.234198  | 0.826758  || 1.204740  | 3.952807  | 0.313239  | 0.720166  || 1.390682  | 4.287153  | 0.331942  | 0.834676  || 
    70  || 0.832411  | 4.186149  | 0.206503  | 0.781214  || 0.855433  | 4.103132  | 0.212473  | 0.757859  || 1.126596  | 3.911393  | 0.291731  | 0.696083  || 1.221113  | 4.331479  | 0.252306  | 0.832949  || 
    80  || 0.866715  | 4.246391  | 0.219635  | 0.796157  || 0.886311  | 4.352497  | 0.235882  | 0.823002  || 1.228863  | 3.789688  | 0.349466  | 0.711785  || 1.196838  | 4.302686  | 0.266096  | 0.827830  || 
    90  || 0.958334  | 4.155880  | 0.238697  | 0.810560  || 1.042914  | 4.289608  | 0.264282  | 0.819392  || 1.205010  | 3.870511  | 0.280278  | 0.742033  || 1.208454  | 4.288741  | 0.283548  | 0.826528  || 
   100  || 0.939367  | 4.075048  | 0.225557  | 0.758320  || 0.923283  | 4.386567  | 0.224912  | 0.839500  || 1.130422  | 3.756231  | 0.284854  | 0.726509  || 1.222300  | 4.346448  | 0.274952  | 0.815939  || 
   200  || 1.009001  | 3.919503  | 0.241682  | 0.750258  || 0.818319  | 3.928857  | 0.198626  | 0.767197  || 1.035559  | 3.849528  | 0.235231  | 0.730114  || 1.189484  | 4.346330  | 0.286413  | 0.834429  || 
   400  || 0.905040  | 3.849223  | 0.230796  | 0.721184  || 0.856783  | 3.829302  | 0.213154  | 0.737639  || 1.031247  | 3.780151  | 0.261526  | 0.719205  || 1.120259  | 4.319421  | 0.266002  | 0.822779  || 
   800  || 0.799451  | 2.969549  | 0.237383  | 0.702635  || 0.678822  | 3.041832  | 0.209072  | 0.735223  || 0.855096  | 2.937047  | 0.248119  | 0.704526  || 0.954327  | 3.406679  | 0.264013  | 0.813121  || 
  1000  || 0.736460  | 2.942754  | 0.228569  | 0.713853  || 0.671182  | 2.913170  | 0.207965  | 0.678460  || 0.792045  | 2.925931  | 0.244317  | 0.700999  || 0.906947  | 3.488875  | 0.257141  | 0.824088  || 
  2000  || 0.641235  | 2.158410  | 0.231481  | 0.703121  || 0.566004  | 2.200256  | 0.211215  | 0.707966  || 0.692800  | 2.108929  | 0.266286  | 0.694833  || 0.722502  | 2.528378  | 0.265945  | 0.823232  || 
  5000  || 0.662130  | 2.127287  | 0.245356  | 0.697072  || 0.564904  | 2.158576  | 0.211530  | 0.672474  || 0.713493  | 2.136863  | 0.268582  | 0.696943  || 0.770871  | 2.534104  | 0.272030  | 0.818457  || 
 10000  || 0.499661  | 1.408707  | 0.251214  | 0.701360  || 0.417326  | 1.483769  | 0.211972  | 0.741844  || 0.512438  | 1.390242  | 0.257170  | 0.684129  || 2.000000  | 0.000000  | 1.000000  | 0.000000  || 
100000  || 0.265959  | 0.689275  | 0.265959  | 0.689275  || 0.211899  | 0.739057  | 0.211899  | 0.739057  || 0.274341  | 0.683587  | 0.274341  | 0.683587  || 1.000000  | 0.000000  | 1.000000  | 0.000000  || 
