	||            Incr+Global+Local                  ||                  Subdivision                  ||                   Incr+Local                  ||                 Convex+Local                  ||
   Size || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound ||
    10  || 2.037073  | 4.468362  | 0.494711  | 0.869049  || 1.689800  | 4.474963  | 0.393686  | 0.822482  || 1.750790  | 4.416422  | 0.494711  | 0.861008  || 1.774267  | 4.359436  | 0.403368  | 0.800249  || 
    20  || 1.285321  | 4.126177  | 0.331829  | 0.687405  || 1.209268  | 4.372391  | 0.316307  | 0.804856  || 1.282758  | 4.118829  | 0.331829  | 0.680058  || 1.246284  | 4.387331  | 0.378742  | 0.804856  || 
    30  || 1.112315  | 4.311870  | 0.273953  | 0.772723  || 1.083390  | 4.438760  | 0.310746  | 0.868633  || 1.435584  | 4.189595  | 0.327963  | 0.714293  || 1.276691  | 4.375050  | 0.300370  | 0.838044  || 
    40  || 1.027950  | 4.266233  | 0.258512  | 0.804822  || 1.041588  | 4.223167  | 0.283355  | 0.803511  || 1.405555  | 3.914412  | 0.369825  | 0.753848  || 1.414382  | 4.198805  | 0.379388  | 0.803511  || 
    50  || 0.964682  | 4.291490  | 0.219048  | 0.835321  || 0.948372  | 4.315139  | 0.227666  | 0.835205  || 1.281048  | 3.984159  | 0.326241  | 0.735406  || 1.334013  | 4.278114  | 0.345599  | 0.818647  || 
    60  || 0.889135  | 4.140985  | 0.226996  | 0.770559  || 0.982169  | 4.259937  | 0.267991  | 0.804049  || 1.191275  | 4.024960  | 0.303821  | 0.760085  || 1.416278  | 4.289387  | 0.344096  | 0.834676  || 
    70  || 0.900157  | 4.253438  | 0.236997  | 0.829762  || 0.889025  | 4.178115  | 0.202231  | 0.799269  || 1.180086  | 3.891040  | 0.301718  | 0.705383  || 1.118904  | 4.332360  | 0.255436  | 0.852850  || 
    80  || 0.951712  | 4.060308  | 0.259539  | 0.789530  || 0.937030  | 4.337575  | 0.237521  | 0.802299  || 1.188698  | 3.835874  | 0.324964  | 0.708639  || 1.193157  | 4.315947  | 0.284520  | 0.829067  || 
    90  || 1.019212  | 4.044709  | 0.256789  | 0.754944  || 1.030651  | 4.187818  | 0.226256  | 0.810314  || 1.254273  | 3.902534  | 0.278924  | 0.748591  || 1.195821  | 4.275384  | 0.268933  | 0.819545  || 
   100  || 0.886061  | 4.065955  | 0.218935  | 0.756294  || 0.881414  | 4.325981  | 0.194287  | 0.800495  || 1.150826  | 3.805336  | 0.312496  | 0.736530  || 1.303886  | 4.339454  | 0.295280  | 0.813496  || 
   200  || 0.876958  | 3.929937  | 0.212256  | 0.738651  || 0.844768  | 3.901542  | 0.210510  | 0.760451  || 1.015837  | 3.806303  | 0.233818  | 0.720634  || 1.171061  | 4.367775  | 0.275606  | 0.842905  || 
   400  || 0.925712  | 3.833282  | 0.231551  | 0.734653  || 0.875791  | 3.852949  | 0.224090  | 0.727073  || 1.010477  | 3.759735  | 0.264058  | 0.726533  || 1.124743  | 4.330119  | 0.286144  | 0.831820  || 
   800  || 0.837462  | 2.938332  | 0.248217  | 0.698832  || 0.683332  | 3.040407  | 0.204980  | 0.728138  || 0.838006  | 2.965777  | 0.241982  | 0.709515  || 0.990482  | 3.400887  | 0.274862  | 0.824419  || 
  1000  || 0.760713  | 2.928980  | 0.246190  | 0.715499  || 0.671519  | 2.932080  | 0.225938  | 0.692652  || 0.802720  | 2.880088  | 0.249385  | 0.693206  || 0.914684  | 3.478176  | 0.264900  | 0.819960  || 
  5000  || 0.688122  | 2.118395  | 0.263193  | 0.688319  || 0.552443  | 2.154626  | 0.205485  | 0.668894  || 0.696921  | 2.115952  | 0.256055  | 0.691996  || 0.752253  | 2.527308  | 0.257770  | 0.818457  || 
 10000  || 0.501082  | 1.411687  | 0.253629  | 0.704255  || 0.413822  | 1.474168  | 0.210646  | 0.735158  || 0.507383  | 1.378554  | 0.257260  | 0.688301  || 2.000000  | 0.000000  | 1.000000  | 0.000000  || 
100000  || 0.274341  | 0.688349  | 0.274341  | 0.688349  || 0.211181  | 0.738844  | 0.211181  | 0.738844  || 0.267924  | 0.686668  | 0.267924  | 0.686668  || 1.000000  | 0.000000  | 1.000000  | 0.000000  || 


